"Критерий","1. Список с отступами (Текстовое дерево)","2. Массив / Вложенные списки (Array of Arrays)","3. Словарь / Объект (Dictionary / JSON)"
"Пример кода","Приемный покой
├── возраст
│   └── 45","[""Приемный покой"", [[""возраст"", 45], ...]]","{""Приемный покой"": {""возраст"": 45}}"
"Читаемость","⭐⭐⭐⭐⭐
Идеально для человека. Видна вся иерархия сразу.","⭐⭐
Сложно читать из-за обилия скобок []. Легко запутаться в уровнях вложенности.","⭐⭐⭐⭐
Хорошо читается. Четко видно, какому ключу какое значение соответствует."
"Доступ к данным","❌
Только визуальный поиск. В коде так работать нельзя.","⚠️
По индексу: data[1][2][1].
Минус: Если поменять порядок элементов, весь код сломается.","✅
По ключу: data[""возраст""].
Плюс: Порядок не важен. Код надежен и понятен."
"Гибкость порядка","🔒 Жесткий.
Элементы должны идти строго друг за другом.","🔒 Жесткий.
Критически зависит от позиции элемента в массиве.","🔄 Гибкий.
Можно менять местами поля внутри объекта, данные не потеряются."
"Расширяемость","Низкая.
Трудно добавлять новые ветки без нарушения визуальной структуры.","Средняя.
Можно добавить элемент в конец, но нужно обновлять логику индексов.","Высокая.
Легко добавить новое поле ""новое"": ""значение"", не ломая старые части программы."
"Типизация","Нет.
Всё воспринимается как текст.","Зависит от языка.
Сложно понять тип данных, глядя только на структуру массива.","Отличная.
Четкое разделение: ключ — имя поля, значение — данные любого типа (число, строка, список)."
"Главный плюс","Наглядность для документации и отчетов.","Универсальность для математических вычислений и матриц.","Стандарт для веба (JSON), баз данных и конфигураций."
"Главный минус","Не подходит для программной обработки данных.","Хрупкость: зависимость от порядка элементов («магические числа»).","Занимает чуть больше места в памяти из-за повторения имен ключей."
"Когда использовать?","• Для печати в консоль
• Для документации
• Для схем","• Когда порядок важнее имен
• В функциональном программировании
• Для матриц/таблиц","• Для хранения данных пациента (ваш случай)
• Для API ответов
• Для настроек приложения"
